player_id,country_id,name,sex,hand,ht,year_of_birth
105754,BRA,Pedro Bernardi,male,U,,1991
222086,TTO,Osenyonye Nwokolo,female,U,,-1
104273,FRA,Edouard Roger Vasselin,male,R,188.0,1983
220836,USA,Danika Gerner,female,R,,1989
208065,SWE,Marius Ruzgas,male,U,,1996
222806,JPN,Nana Owada,female,U,,-1
239459,ITA,Beatrice Ottone,female,U,,-1
214176,EST,Valeria Gorlats,female,R,,1998
221892,AUS,Maggie Pearce,female,U,,2003
215705,NED,Dewi Dijkman,female,U,,1998
223118,TUR,Alara Ayaz,female,U,,-1
214608,CHN,Jia Qi Kang,female,R,,1997
202460,TUN,Ons Jabeur,female,R,167.0,1994
200537,URU,Nicolas Xiviller,male,,,1998
126148,ITA,Joy Vigani,male,U,,1996
126523,ESP,Bernabe Zapata Miralles,male,R,,1997
211020,FRA,Solene Guyomard,female,U,,1995
238195,ISR,Tal Dekel,female,U,,-1
211338,GER,Katharina Hering,female,R,,1995
208354,THA,Michael Mathayomchand,male,R,,2000
214637,BAR,Kiana Marshall,female,U,,1997
223073,TUR,Elif Sanem Karadag,female,U,,-1
206309,USA,Boris Kozlov,male,U,,2000
200574,CAN,Alexander Donski,male,R,,1998
